date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume
2016-10-02 09:00:00,None,258.37,0,0,13,Drizzle,light intensity drizzle,4438
2016-10-02 10:00:00,None,282.72,0,0,75,Drizzle,light intensity drizzle,4067
2016-10-02 11:00:00,None,286.12,0,0.47,71,Snow,light snow,3518
2016-10-02 12:00:00,None,292.08,0,0,53,Clouds,broken clouds,3026
2016-10-02 13:00:00,None,295.53,0,0,20,Clouds,broken clouds,2381
2016-10-02 14:00:00,None,266.67,0,0,27,Drizzle,light intensity drizzle,2325
2016-10-02 15:00:00,None,270.64,6.02,0,33,Rain,moderate rain,2174
2016-10-02 16:00:00,None,282.17,0,0,48,Clear,sky is clear,1876
2016-10-02 17:00:00,None,301.7,0,0,73,Clear,sky is clear,1016
2016-10-02 18:00:00,None,252.75,0,0,29,Clouds,broken clouds,1318
2016-10-02 19:00:00,None,272.81,2.63,0,58,Rain,moderate rain,2138
2016-10-02 20:00:00,None,259.76,0,0,45,Drizzle,light intensity drizzle,1646
2016-10-02 21:00:00,None,254.28,0,0,81,Clouds,broken clouds,1714
2016-10-02 22:00:00,None,264.69,0,0,59,Clouds,broken clouds,1840
2016-10-02 23:00:00,None,263.18,0,0.91,41,Snow,light snow,2526
2016-10-03 00:00:00,None,251.93,0,0,40,Clear,sky is clear,3678
2016-10-03 01:00:00,None,302.58,0,0.17,40,Snow,light snow,3365
2016-10-03 02:00:00,None,273.74,0,0,82,Clouds,broken clouds,3955
2016-10-03 03:00:00,None,282.34,0,0.17,95,Snow,light snow,4163
2016-10-03 04:00:00,None,285.01,0,0,46,Mist,mist,4427
2016-10-03 05:00:00,None,295.35,0,0,14,Clouds,broken clouds,4612
2016-10-03 06:00:00,None,297.52,0,0,54,Clouds,broken clouds,4497
2016-10-03 07:00:00,None,281.75,0,0,70,Mist,mist,4719
2016-10-03 08:00:00,None,256.87,0,0,68,Clear,sky is clear,4413
2016-10-03 09:00:00,None,259.49,0.12,0,0,Rain,moderate rain,4092
2016-10-03 10:00:00,None,265.8,0,0,64,Drizzle,light intensity drizzle,3478
2016-10-03 11:00:00,None,300.5,0,0,64,Clouds,broken clouds,3246
2016-10-03 12:00:00,None,272.43,0,0,20,Mist,mist,2993
2016-10-03 13:00:00,None,285.94,0,0,62,Mist,mist,3261
2016-10-03 14:00:00,None,271.78,0,0,39,Clear,sky is clear,2054
2016-10-03 15:00:00,None,255.14,0,0,62,Clouds,broken clouds,2514
2016-10-03 16:00:00,None,281.96,0,0,16,Clear,sky is clear,1920
2016-10-03 17:00:00,None,281.66,0,0,77,Clouds,broken clouds,1160
2016-10-03 18:00:00,None,305.73,0,2.01,96,Snow,light snow,886
2016-10-03 19:00:00,None,290.3,0,0,47,Drizzle,light intensity drizzle,1376
2016-10-03 20:00:00,None,277.09,0,0.92,31,Snow,light snow,1260
2016-10-03 21:00:00,None,285.31,0,0,0,Clouds,broken clouds,1996
2016-10-03 22:00:00,None,253.53,0,0,8,Clear,sky is clear,2274
2016-10-03 23:00:00,None,290.14,0,0,27,Clear,sky is clear,2684
2016-10-04 00:00:00,None,306.13,0,0,73,Mist,mist,2911
2016-10-04 01:00:00,None,261.42,0,0,12,Mist,mist,2870
2016-10-04 02:00:00,None,275.41,0,0,59,Drizzle,light intensity drizzle,3839
2016-10-04 03:00:00,None,253.64,0,0,93,Drizzle,light intensity drizzle,4472
2016-10-04 04:00:00,None,256.56,2.46,0,24,Rain,moderate rain,4444
2016-10-04 05:00:00,None,277.76,0,0,9,Clouds,broken clouds,4288
2016-10-04 06:00:00,None,301.36,0,0.02,12,Snow,light snow,4462
2016-10-04 07:00:00,Columbus Day,255.6,0,0,96,Clear,sky is clear,4233
2016-10-04 08:00:00,None,279.14,0,0,27,Clouds,broken clouds,3993
2016-10-04 09:00:00,Columbus Day,273.43,0,3.5,100,Snow,light snow,4207
2016-10-04 10:00:00,None,291.8,0,1.79,93,Snow,light snow,3646
2016-10-04 11:00:00,None,263.06,0,0,7,Mist,mist,3206
2016-10-04 12:00:00,None,253.66,0,0,40,Mist,mist,2705
2016-10-04 13:00:00,None,281.87,0,0,7,Clear,sky is clear,2936
2016-10-04 14:00:00,None,261.15,0,0,76,Mist,mist,2355
2016-10-04 15:00:00,None,303.42,0,0,31,Clear,sky is clear,1839
2016-10-04 16:00:00,None,287.16,0,0,53,Mist,mist,1505
2016-10-04 17:00:00,None,262.26,0,0,91,Drizzle,light intensity drizzle,1235
2016-10-04 18:00:00,None,273.75,0.48,0,85,Rain,moderate rain,1316
2016-10-04 19:00:00,None,254.35,0,0,58,Drizzle,light intensity drizzle,1470
2016-10-04 20:00:00,None,309.77,0,0,9,Mist,mist,1949
2016-10-04 21:00:00,None,302.85,0,0,31,Mist,mist,1993
2016-10-04 22:00:00,None,276.29,0.4,0,69,Rain,moderate rain,2479
2016-10-04 23:00:00,None,281.74,0,0,85,Drizzle,light intensity drizzle,2332
2016-10-05 00:00:00,None,289.8,0,0,17,Mist,mist,3815
2016-10-05 01:00:00,None,266.34,0.41,0,77,Rain,moderate rain,3495
2016-10-05 02:00:00,None,262.22,0,0,81,Clouds,broken clouds,3844
2016-10-05 03:00:00,None,253.05,0.73,0,81,Rain,moderate rain,3832
2016-10-05 04:00:00,None,252.65,0,0.74,42,Snow,light snow,4291
2016-10-05 05:00:00,None,283.1,0,0,54,Clouds,broken clouds,4296
2016-10-05 06:00:00,Columbus Day,254.51,0,0,88,Mist,mist,4322
2016-10-05 07:00:00,None,258.89,0,0,16,Clouds,broken clouds,3902
2016-10-05 08:00:00,None,303.94,0,0,5,Clear,sky is clear,4138
2016-10-05 09:00:00,None,296.81,1.13,0,52,Rain,moderate rain,4117
2016-10-05 10:00:00,None,305.55,0,0,30,Mist,mist,3970
2016-10-05 11:00:00,None,251.49,0,0,94,Clouds,broken clouds,3929
2016-10-05 12:00:00,None,274.7,0.69,0,85,Rain,moderate rain,2918
2016-10-05 13:00:00,None,256.49,0,0,4,Drizzle,light intensity drizzle,2699
2016-10-05 14:00:00,None,299.0,0,0.95,58,Snow,light snow,2030
2016-10-05 15:00:00,None,251.42,0.3,0,24,Rain,moderate rain,1757
2016-10-05 16:00:00,None,301.86,0,0.35,98,Snow,light snow,2203
2016-10-05 17:00:00,None,300.62,0.91,0,42,Rain,moderate rain,1338
2016-10-05 18:00:00,None,308.22,0,0,22,Clear,sky is clear,1788
2016-10-05 19:00:00,None,276.07,0,0,93,Mist,mist,1780
2016-10-05 20:00:00,None,309.05,1.22,0,14,Rain,moderate rain,1645
2016-10-05 21:00:00,None,276.16,0,1.54,66,Snow,light snow,2096
2016-10-05 22:00:00,None,306.42,0,0,94,Mist,mist,2135
2016-10-05 23:00:00,None,305.25,0,0,79,Drizzle,light intensity drizzle,2715
2016-10-06 00:00:00,None,257.48,0.45,0,38,Rain,moderate rain,3301
2016-10-06 01:00:00,None,267.74,0,0,16,Mist,mist,3276
2016-10-06 02:00:00,None,306.42,0,0,86,Clouds,broken clouds,4036
2016-10-06 03:00:00,None,282.88,0,0,0,Drizzle,light intensity drizzle,4400
2016-10-06 04:00:00,None,275.79,1.44,0,74,Rain,moderate rain,4061
2016-10-06 05:00:00,None,262.82,0,0,60,Mist,mist,4259
2016-10-06 06:00:00,None,255.09,0,0,65,Drizzle,light intensity drizzle,4222
2016-10-06 07:00:00,None,295.07,0,0,86,Drizzle,light intensity drizzle,4267
2016-10-06 08:00:00,None,261.95,1.8,0,3,Rain,moderate rain,4098
2016-10-06 09:00:00,None,254.37,0,0,53,Clear,sky is clear,4071
2016-10-06 10:00:00,None,293.1,0,0,49,Drizzle,light intensity drizzle,4090
2016-10-06 11:00:00,None,303.56,0,0.05,98,Snow,light snow,3251
2016-10-06 12:00:00,None,263.13,0,0,89,Clear,sky is clear,3099
2016-10-06 13:00:00,None,257.28,0,0,17,Mist,mist,2238
2016-10-06 14:00:00,None,309.27,0,0.94,76,Snow,light snow,2334
2016-10-06 15:00:00,None,293.16,0.37,0,64,Rain,moderate rain,2540
2016-10-06 16:00:00,None,282.87,0,0.07,20,Snow,light snow,1505
2016-10-06 17:00:00,None,300.39,0,0,35,Drizzle,light intensity drizzle,1762
2016-10-06 18:00:00,None,264.35,0,0,56,Mist,mist,1249
2016-10-06 19:00:00,None,303.58,0,0,10,Clear,sky is clear,1501
2016-10-06 20:00:00,None,272.98,0,0,19,Clouds,broken clouds,1487
2016-10-06 21:00:00,None,277.96,0,0,7,Drizzle,light intensity drizzle,2009
2016-10-06 22:00:00,None,273.37,0,0,98,Clouds,broken clouds,2552
2016-10-06 23:00:00,None,284.54,0,0,61,Mist,mist,2667
2016-10-07 00:00:00,None,267.92,0,0,49,Clear,sky is clear,2980
2016-10-07 01:00:00,None,303.87,0,2.97,62,Snow,light snow,2913
2016-10-07 02:00:00,None,279.14,0,0,49,Clouds,broken clouds,3633
2016-10-07 03:00:00,None,300.43,6.74,0,16,Rain,moderate rain,3798
2016-10-07 04:00:00,None,304.42,0,0,75,Mist,mist,3830
2016-10-07 05:00:00,None,302.01,0,0,23,Mist,mist,4383
2016-10-07 06:00:00,None,269.64,0,0,58,Clear,sky is clear,4392
2016-10-07 07:00:00,None,307.07,3.3,0,53,Rain,moderate rain,4126
2016-10-07 08:00:00,None,278.22,0.73,0,95,Rain,moderate rain,4825
2016-10-07 09:00:00,None,254.12,0,0,83,Mist,mist,4760
2016-10-07 10:00:00,None,306.98,0,0,25,Clear,sky is clear,3987
2016-10-07 11:00:00,None,256.86,0,0,27,Clear,sky is clear,3228
2016-10-07 12:00:00,None,296.01,0,0.1,21,Snow,light snow,2847
2016-10-07 13:00:00,None,299.16,0,0,39,Mist,mist,2222
2016-10-07 14:00:00,None,305.73,0,0,73,Clear,sky is clear,1939
2016-10-07 15:00:00,None,261.9,0,0,75,Drizzle,light intensity drizzle,2183
2016-10-07 16:00:00,None,264.57,0,0,89,Drizzle,light intensity drizzle,1541
2016-10-07 17:00:00,None,309.03,2.31,0,100,Rain,moderate rain,1790
2016-10-07 18:00:00,None,275.7,0,0,47,Clear,sky is clear,1171
2016-10-07 19:00:00,None,299.34,0,0,13,Clear,sky is clear,1277
2016-10-07 20:00:00,None,288.14,0,0.58,58,Snow,light snow,1690
2016-10-07 21:00:00,None,289.03,0,0,78,Drizzle,light intensity drizzle,2046
2016-10-07 22:00:00,None,277.89,0,0,93,Mist,mist,2403
2016-10-07 23:00:00,None,255.2,0,0,57,Mist,mist,2544
2016-10-08 00:00:00,None,284.19,0,0,85,Clouds,broken clouds,3582
2016-10-08 01:00:00,None,279.25,0,0.13,45,Snow,light snow,3207
2016-10-08 02:00:00,None,302.82,1.37,0,89,Rain,moderate rain,4049
2016-10-08 03:00:00,None,264.48,0.07,0,52,Rain,moderate rain,3720
2016-10-08 04:00:00,None,264.42,0,2.4,60,Snow,light snow,4174
2016-10-08 05:00:00,Columbus Day,267.65,0,0,51,Drizzle,light intensity drizzle,4371
2016-10-08 06:00:00,None,289.84,0,0,47,Drizzle,light intensity drizzle,4182
2016-10-08 07:00:00,None,283.02,0,0.3,45,Snow,light snow,4188
2016-10-08 08:00:00,None,268.4,0,0,29,Drizzle,light intensity drizzle,4208
2016-10-08 09:00:00,None,307.05,0,0,88,Clear,sky is clear,4013
2016-10-08 10:00:00,None,294.32,0,0,35,Clouds,broken clouds,3493
2016-10-08 11:00:00,None,308.83,0,0,24,Drizzle,light intensity drizzle,2959
2016-10-08 12:00:00,None,260.77,2.17,0,1,Rain,moderate rain,2729
2016-10-08 13:00:00,None,283.2,0,0,89,Drizzle,light intensity drizzle,2377
